,Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS.1,TRB.1,AST.1,STL.1,BLK.1,PER,WS,BPM
0,1,Hunter Adam,FR,F,Davidson,32,435,57,15,9,12,19,44,91,.413,.667,.260,.923,2.8,1.8,0.5,0.3,0.4,8.9,0.8,-0.9
1,2,Mika Adams-Woods,SR,G,St. Bonaventure,32,1025,79,118,32,6,51,54,409,.460,.475,.432,.837,12.8,2.5,3.7,1.0,0.2,17.8,3.7,3.5
2,3,Dame Adelekun,SR,F,Loyola (IL),33,513,149,31,19,30,43,95,299,.567,.574,.333,.663,9.1,4.5,0.9,0.6,0.9,25.6,2.6,5.5
3,4,Babatunde Akingbola,SR,C,George Washington,32,849,184,11,20,84,20,94,121,.595,.595,,.538,3.8,5.8,0.3,0.6,2.6,13.5,2.1,0.5
4,5,Ogheneyole Akuwovo,SR,F,Fordham,29,155,26,3,2,9,6,25,17,.583,.583,,.429,0.6,0.9,0.1,0.1,0.3,7.8,0.3,-3.2
5,6,Ray Allen III,FR,G,Rhode Island,1,2,0,0,1,0,1,0,2,.500,1.000,.000,,2.0,0.0,0.0,1.0,0.0,26.9,0.0,
6,7,Philip Alston,SR,F,Loyola (IL),29,705,132,22,16,21,59,74,364,.451,.514,.250,.635,12.6,4.6,0.8,0.6,0.7,15.2,1.7,-1.5
7,8,Ethan Anish,FR,G,Duquesne,1,3,1,0,0,0,0,0,0,.000,,.000,,0.0,1.0,0.0,0.0,0.0,-9.5,0.0,
8,9,Chris Arizin,SR,G,Saint Joseph's,7,21,7,1,0,0,1,1,12,.714,.667,1.000,.333,1.7,1.0,0.1,0.0,0.0,30.7,0.1,4.8
9,10,Amir Arrington,FR,G,George Washington,5,7,0,0,1,0,1,1,0,.000,.000,,,0.0,0.0,0.0,0.2,0.0,-8.5,0.0,-7.1
10,11,Berke Arslan,FR,G,George Mason,4,6,1,0,0,0,1,1,0,.000,.000,,,0.0,0.3,0.0,0.0,0.0,-33.9,-0.1,-41.6
11,12,Trey Autry,FR,G,George Washington,32,591,96,26,16,5,13,37,173,.426,.778,.342,.778,5.4,3.0,0.8,0.5,0.2,12.9,1.5,1.0
12,13,Dji Bailey,SR,G,Richmond,33,1026,146,74,56,10,37,59,335,.594,.652,.316,.568,10.2,4.4,2.2,1.7,0.3,18.2,4.2,4.7
13,14,Reed Bailey,SO,F,Davidson,32,905,184,45,21,9,52,82,406,.424,.475,.217,.804,12.7,5.8,1.4,0.7,0.3,17.7,3.0,1.0
14,15,Sean Bairstow,SR,G,Virginia Commonwealth,25,826,118,92,12,1,43,38,249,.399,.448,.254,.814,10.0,4.7,3.7,0.5,0.0,11.9,1.8,-0.2
15,16,Austin Ball,FR,G,George Mason,23,223,24,11,4,1,8,12,58,.418,.542,.323,.500,2.5,1.0,0.5,0.2,0.0,9.5,0.4,1.1
16,17,Jimmy Ball,SO,G,Rhode Island,3,4,0,0,0,0,0,0,2,.333,.500,.000,,0.7,0.0,0.0,0.0,0.0,2.5,0.0,-31.6
17,18,Joseph Bamisile,SR,G,Virginia Commonwealth,28,648,96,16,22,17,31,35,367,.423,.500,.370,.743,13.1,3.4,0.6,0.8,0.6,20.3,2.3,6.0
18,19,Daryl Banks III,SR,G,St. Bonaventure,33,962,71,79,30,4,47,50,319,.336,.325,.344,.897,9.7,2.2,2.4,0.9,0.1,12.0,2.2,0.0
19,20,Andy Barba,JR,F,Duquesne,5,19,3,0,1,0,0,1,6,.222,.000,.400,,1.2,0.6,0.0,0.2,0.0,6.5,0.0,-21.0
20,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced
21,Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
