,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
0,1,2023-11-07,,UMass,Albany (NY),W,92,71,33,76,.434,10,22,.455,16,26,.615,15,38,20,12,4,4,21,,20,56,.357,9,26,.346,22,31,.710,7,34,10,2,5,17,23
1,2,2023-11-13,,UMass,Quinnipiac,W,102,81,39,70,.557,11,28,.393,13,20,.650,10,32,23,9,2,7,20,,26,60,.433,6,20,.300,23,30,.767,13,33,16,4,2,15,18
2,3,2023-11-17,,UMass,Harvard,L (1 OT),75,78,29,78,.372,7,28,.250,10,25,.400,20,45,14,10,4,12,19,,27,61,.443,11,24,.458,13,18,.722,10,40,17,6,7,16,21
3,4,2023-11-22,,UMass,Central Connecticut,W,89,60,35,58,.603,8,21,.381,11,15,.733,8,32,29,9,5,10,16,,18,53,.340,7,22,.318,17,22,.773,9,22,14,4,3,14,14
4,5,2023-12-02,,UMass,South Florida,W,66,56,18,54,.333,4,25,.160,26,41,.634,13,44,13,9,4,16,25,,15,55,.273,5,22,.227,21,27,.778,11,33,12,8,2,17,30
5,6,2023-12-06,@,UMass,Towson,L,71,81,25,54,.463,7,18,.389,14,20,.700,8,25,11,5,3,10,22,,26,54,.481,6,16,.375,23,34,.676,10,30,9,7,6,9,21
6,7,2023-12-09,,UMass,UMass-Lowell,W,91,77,35,72,.486,5,18,.278,16,20,.800,15,38,21,11,4,13,19,,29,68,.426,5,21,.238,14,21,.667,13,33,12,7,4,14,17
7,8,2023-12-16,N,UMass,West Virginia,W,87,79,27,62,.435,8,21,.381,25,32,.781,12,44,21,5,2,14,16,,28,70,.400,14,31,.452,9,12,.750,6,23,17,4,1,10,24
8,9,2023-12-21,N,UMass,Georgia Tech,L,70,73,26,67,.388,10,31,.323,8,19,.421,12,27,11,16,3,11,20,,25,51,.490,5,17,.294,18,21,.857,9,37,7,6,5,21,16
9,10,2023-12-23,N,UMass,Portland,W,100,78,35,59,.593,9,25,.360,21,23,.913,9,32,21,10,1,11,24,,26,58,.448,7,26,.269,19,26,.731,11,24,14,4,2,12,17
10,11,2023-12-24,N,UMass,Old Dominion,W,87,65,33,61,.541,5,14,.357,16,22,.727,9,38,19,8,2,13,20,,23,54,.426,2,16,.125,17,28,.607,7,27,7,11,4,14,17
11,12,2023-12-30,,UMass,Siena,W,79,66,27,61,.443,4,14,.286,21,24,.875,10,29,13,15,4,9,17,,23,57,.404,5,19,.263,15,19,.789,13,31,8,6,5,18,18
12,13,2024-01-03,,UMass,Duquesne,W,80,61,27,51,.529,2,10,.200,24,34,.706,7,33,13,6,3,12,20,,21,58,.362,6,22,.273,13,22,.591,12,30,11,7,0,14,23
13,14,2024-01-07,@,UMass,Dayton,L,60,64,24,66,.364,3,22,.136,9,15,.600,18,41,11,7,1,8,19,,18,47,.383,10,29,.345,18,21,.857,6,29,12,4,2,11,11
14,15,2024-01-10,,UMass,La Salle,W,81,65,31,63,.492,5,13,.385,14,21,.667,12,39,18,6,4,11,18,,26,61,.426,7,25,.280,6,15,.400,7,27,15,6,4,12,16
15,16,2024-01-13,@,UMass,Rhode Island,L,77,89,27,66,.409,3,15,.200,20,28,.714,14,32,9,3,4,3,24,,27,52,.519,14,23,.609,21,28,.750,8,34,14,0,2,9,23
16,17,2024-01-17,@,UMass,Loyola (IL),L,78,79,24,58,.414,8,20,.400,22,31,.710,13,31,10,7,1,10,24,,26,56,.464,6,21,.286,21,31,.677,12,32,20,7,4,12,24
17,18,2024-01-20,,UMass,George Washington,W,81,67,33,65,.508,8,27,.296,7,11,.636,9,35,22,5,3,8,17,,21,58,.362,9,26,.346,16,20,.800,9,32,14,7,0,15,14
18,19,2024-01-23,,UMass,St. Joseph's,L,77,78,29,65,.446,5,16,.313,14,17,.824,10,38,19,9,4,17,16,,29,61,.475,9,19,.474,11,17,.647,7,33,14,11,6,13,15
19,20,2024-01-27,@,UMass,Saint Louis,W,84,73,29,61,.475,7,22,.318,19,23,.826,11,35,13,8,5,6,14,,24,55,.436,11,25,.440,14,16,.875,5,24,16,5,1,12,19
20,,,,UMass,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
21,G,Date,,UMass,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
22,21,2024-02-03,,UMass,George Mason,W,66,65,21,54,.389,7,22,.318,17,24,.708,16,37,13,9,4,16,19,,22,53,.415,7,18,.389,14,19,.737,9,23,14,10,1,13,22
23,22,2024-02-07,@,UMass,St. Bonaventure,L,73,79,28,58,.483,6,18,.333,11,16,.688,8,29,16,6,1,12,24,,27,53,.509,6,17,.353,19,28,.679,8,28,12,7,5,11,15
24,23,2024-02-11,,UMass,Rhode Island,W,81,79,31,64,.484,11,28,.393,8,18,.444,8,31,20,9,2,9,13,,29,61,.475,8,15,.533,13,16,.813,6,24,15,6,3,12,18
25,24,2024-02-14,@,UMass,Richmond,W,69,59,21,55,.382,6,22,.273,21,24,.875,9,44,10,3,4,11,17,,18,54,.333,7,25,.280,16,25,.640,4,26,8,8,2,6,18
26,25,2024-02-17,@,UMass,La Salle,L,81,82,25,59,.424,8,27,.296,23,28,.821,8,34,13,6,4,7,17,,28,59,.475,9,21,.429,17,22,.773,9,35,18,6,4,10,19
27,26,2024-02-20,,UMass,VCU,W,74,52,28,59,.475,8,25,.320,10,12,.833,9,39,18,11,2,10,13,,17,56,.304,8,25,.320,10,12,.833,10,31,11,7,3,13,11
28,27,2024-02-24,,UMass,St. Bonaventure,L,67,75,23,57,.404,7,25,.280,14,22,.636,12,29,14,6,2,14,17,,27,57,.474,6,16,.375,15,19,.789,11,33,16,7,2,10,18
29,28,2024-02-27,@,UMass,George Washington,W,69,57,30,58,.517,8,24,.333,1,4,.250,7,29,18,8,2,13,10,,21,52,.404,6,28,.214,9,12,.750,9,25,10,10,0,12,7
30,29,2024-03-02,@,UMass,Davidson,W,69,67,24,67,.358,5,24,.208,16,23,.696,18,42,8,4,4,9,16,,27,56,.482,2,14,.143,11,17,.647,5,29,15,4,13,10,18
31,30,2024-03-06,,UMass,Fordham,W,66,64,22,52,.423,7,19,.368,15,24,.625,6,33,10,1,3,7,19,,23,65,.354,7,28,.250,11,19,.579,15,34,13,4,2,6,21
32,31,2024-03-14,N,UMass,VCU,L,59,73,19,54,.352,7,24,.292,14,19,.737,10,25,12,3,2,9,23,,22,44,.500,6,17,.353,23,30,.767,9,30,16,8,3,12,19
33,1,2023-11-06,,Duquesne,Cleveland State,W,79,77,26,62,.419,9,27,.333,18,33,.545,15,41,17,5,2,11,20,,28,64,.438,9,20,.450,12,19,.632,14,39,10,7,6,12,25
34,2,2023-11-10,N,Duquesne,College of Charleston,W,90,72,33,67,.493,11,34,.324,13,13,1.000,5,30,17,10,6,13,23,,23,58,.397,7,27,.259,19,30,.633,10,34,15,8,1,16,17
35,3,2023-11-13,,Duquesne,Stony Brook,W,85,63,32,64,.500,13,28,.464,8,11,.727,14,43,15,8,5,12,14,,22,66,.333,12,29,.414,7,12,.583,12,29,9,5,5,9,11
